event_timestamp,event_type,processing_bar_index,message,processing_bar_timestamp,processing_bar_ohlc,pds_potential_idx,pds_anchor_h,pds_candidate_idx,pds_candidate_h,pds_candidate_l,pus_potential_idx,pus_anchor_l,pus_candidate_idx,pus_candidate_l,pus_candidate_h,in_containment,containment_ref_idx,containment_ref_type,last_trend_type,last_trend_idx,overall_trend_up
2025-06-09T21:41:32.717263+00:00,STRATEGY_DEBUG,6,Signal Generation: Rule C MET. PDS set on current_bar (6).,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717265+00:00,STRATEGY_DEBUG,6,Bar Summary: Pending Downtrend Start on Bar 6 (2025-03-17T18:00:00+00:00) by Rule C,2025-03-17T18:00:00+00:00,"O:5733.5,H:5759.75,L:5725.5,C:5732.25,V:233213.0",6.0,5759.75,6.0,5759.75,5725.5,4.0,5664.75,3.0,5651.25,5670.25,False,,,downtrend,1.0,False
2025-06-09T21:41:32.717269+00:00,STRATEGY_DEBUG,7,Processing Bar 7 (2025-03-17T22:00:00+00:00),2025-03-17T22:00:00+00:00,"O:5732.0,H:5738.0,L:5716.5,C:5717.5,V:35976.0",6.0,5759.75,6.0,5759.75,5725.5,4.0,5664.75,3.0,5651.25,5670.25,False,,,downtrend,1.0,False
2025-06-09T21:41:32.717273+00:00,STRATEGY_DEBUG,7,Bar OHLCV: O:5732.0 H:5738.0 L:5716.5 C:5717.5 V:35976.0,2025-03-17T22:00:00+00:00,"O:5732.0,H:5738.0,L:5716.5,C:5717.5,V:35976.0",6.0,5759.75,6.0,5759.75,5725.5,4.0,5664.75,3.0,5651.25,5670.25,False,,,downtrend,1.0,False
2025-06-09T21:41:32.717277+00:00,STRATEGY_DEBUG,7,Initial State - PUS Candidate: Bar 3 (L:5651.25) | PDS Candidate: Bar 6 (H:5759.75),2025-03-17T22:00:00+00:00,"O:5732.0,H:5738.0,L:5716.5,C:5717.5,V:35976.0",6.0,5759.75,6.0,5759.75,5725.5,4.0,5664.75,3.0,5651.25,5670.25,False,,,downtrend,1.0,False
2025-06-09T21:41:32.717280+00:00,STRATEGY_DEBUG,7,Initial State - Last Confirmed Trend: downtrend at Bar 1,2025-03-17T22:00:00+00:00,"O:5732.0,H:5738.0,L:5716.5,C:5717.5,V:35976.0",6.0,5759.75,6.0,5759.75,5725.5,4.0,5664.75,3.0,5651.25,5670.25,False,,,downtrend,1.0,False
2025-06-09T21:41:32.717283+00:00,STRATEGY_DEBUG,7,"Initial State - Containment: False (Ref Bar: None, H:N/A, L:N/A, Start Bar: None, Consecutive Inside: 0)",2025-03-17T22:00:00+00:00,"O:5732.0,H:5738.0,L:5716.5,C:5717.5,V:35976.0",6.0,5759.75,6.0,5759.75,5725.5,4.0,5664.75,3.0,5651.25,5670.25,False,,,downtrend,1.0,False
2025-06-09T21:41:32.717288+00:00,STRATEGY_DEBUG,7,CUS Evaluation: Checking rule 'EXHAUSTION_REVERSAL' for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717290+00:00,STRATEGY_DEBUG,7,CUS Evaluation: Rule 'EXHAUSTION_REVERSAL' NOT MET for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717291+00:00,STRATEGY_DEBUG,7,CUS Evaluation: Checking rule 'LowUndercutHighRespect' for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717293+00:00,STRATEGY_DEBUG,7,CUS Evaluation: Rule 'LowUndercutHighRespect' NOT MET for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717294+00:00,STRATEGY_DEBUG,7,CUS Evaluation: Checking rule 'HigherHighLowerLowDownClose' for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717295+00:00,STRATEGY_DEBUG,7,CUS Evaluation: Rule 'HigherHighLowerLowDownClose' NOT MET for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717297+00:00,STRATEGY_DEBUG,7,CUS Evaluation: Checking rule 'EngulfingUpPDSLowBreak' for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717298+00:00,STRATEGY_DEBUG,7,CUS Evaluation: Rule 'EngulfingUpPDSLowBreak' NOT MET for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717299+00:00,STRATEGY_DEBUG,7,CUS Evaluation: Checking rule 'BreakoutAfterFailedLowV2' for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
